Category ID number,Course full name,peserta,Course URL
P11-2025,Palembang 11,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1452
P11-2025,Kekuatan Kebiasaan,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1390
P11-2025,Palembang 01,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1442
P11-2025,Palembang 03,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1444
P11-2025,Palembang 04,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1445
P11-2025,Palembang 02,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1443
P11-2025,Palembang 06,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1447
P11-2025,Palembang 07,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1448
P11-2025,Palembang 08,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1449
P11-2025,Palembang 09,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1450
P11-2025,Palembang 05,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1446
P12-2025,Makassar 18,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1484
P12-2025,TATA KECANTIKAN RAMBUT,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1481
P12-2025,Makassar 16,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1482
P12-2025,Makassar 17,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1483
P12-2025,Makassar 19,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1485
P12-2025,TATA BUSANA,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1480
P12-2025,Makassar 21,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1487
P12-2025,Makassar 22,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1488
P12-2025,Makassar 23,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1489
P12-2025,Makassar 24,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1490
P12-2025,Makassar 20,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1486
P12-2025,Budidaya Rumput Laut,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1479
P12-2025,Makassar 25,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1491
P12-2025,tata rias kecantikan,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1477
P12-2025,Makassar 00,1,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1391
