id,lkp_id,nama_kelas,link,peserta,lulusan,status,program_keterampilan
K-MOODLE-611,LKP-1f47c03a03,TATA RIAS KECANTIKAN,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=611,2,0,Sudah Berjalan,
K-MOODLE-1043,LKP-35e4244e49,kursusbaru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1043,2,0,Sudah Berjalan,
K-MOODLE-758,LKP-b433ce6f48,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=758,2,0,Sudah Berjalan,
K-MOODLE-349,LKP-42ea65e0b3,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=349,2,0,Sudah Berjalan,
K-MOODLE-352,LKP-36fca71c1d,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=352,2,0,Sudah Berjalan,
K-MOODLE-2125,LKP-c1d698a1f0,Pembuatan Rok LK Fan College banyumas,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=2125,1,0,Sudah Berjalan,
K-MOODLE-534,LKP-a710cad6d1,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=534,2,0,Sudah Berjalan,
K-MOODLE-476,LKP-362d33ca5e,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=476,2,0,Sudah Berjalan,
K-MOODLE-785,LKP-d784422c93,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=785,2,0,Sudah Berjalan,
K-MOODLE-483,LKP-17a864d483,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=483,2,0,Sudah Berjalan,
K-MOODLE-494,LKP-99ce99b11e,Coffe & Service Excellence Class,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=494,20,0,Sudah Berjalan,
K-MOODLE-881,LKP-99ce99b11e,"Speak with Confidence, Learn with Passion!",https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=881,46,0,Sudah Berjalan,
K-MOODLE-882,LKP-99ce99b11e,The Hospitality Excellence Class,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=882,6,0,Sudah Berjalan,
K-MOODLE-4,LKP-66f83e1a28,Mensetsu Bahasa Jepang,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=4,17,0,Sudah Berjalan,
K-MOODLE-457,LKP-66f83e1a28,Level 1 - Bahasa Jepang,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=457,121,0,Sudah Berjalan,
K-MOODLE-460,LKP-66f83e1a28,Level 2 - Bahasa Jepang,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=460,111,0,Sudah Berjalan,
K-MOODLE-461,LKP-66f83e1a28,Level 3 - Bahasa Jepang,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=461,73,0,Sudah Berjalan,
K-MOODLE-462,LKP-66f83e1a28,Level 4 - Bahasa Jepang,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=462,41,0,Sudah Berjalan,
K-MOODLE-463,LKP-66f83e1a28,Level 5 - Bahasa Jepang,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=463,27,0,Sudah Berjalan,
K-MOODLE-5,LKP-66f83e1a28,Bahasa Jepang Dasar,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=5,822,0,Sudah Berjalan,
K-MOODLE-6,LKP-66f83e1a28,Bahasa Korea Dasar,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=6,1535,0,Sudah Berjalan,
K-MOODLE-843,LKP-66f83e1a28,PRA KELAS - Bahasa Korea Persiapan Kerja Korea,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=843,195,0,Sudah Berjalan,
K-MOODLE-856,LKP-66f83e1a28,Level 1 - Bahasa Korea,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=856,93,0,Sudah Berjalan,
K-MOODLE-857,LKP-66f83e1a28,Level 2- Bahasa Korea,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=857,26,0,Sudah Berjalan,
K-MOODLE-858,LKP-66f83e1a28,Level 3 - Bahasa Korea,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=858,20,0,Sudah Berjalan,
K-MOODLE-859,LKP-66f83e1a28,Level 4 - bahasa Korea,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=859,12,0,Sudah Berjalan,
K-MOODLE-860,LKP-66f83e1a28,Level 5 - Bahasa Korea,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=860,9,0,Sudah Berjalan,
K-MOODLE-861,LKP-66f83e1a28,Level 6 - Bahasa Korea,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=861,8,0,Sudah Berjalan,
K-MOODLE-862,LKP-66f83e1a28,Level 7 - Bahasa Korea,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=862,7,0,Sudah Berjalan,
K-MOODLE-863,LKP-66f83e1a28,Level 8 - Bahasa Korea,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=863,10,0,Sudah Berjalan,
K-MOODLE-531,LKP-407fda0850,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=531,2,0,Sudah Berjalan,
K-MOODLE-1102,LKP-810b158027,MICROSOFT OFFICE DASAR  SEBAGAI LANGKAH AWAL JADI PROFESIONAL LKP Dita Computer,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1102,3,0,Sudah Berjalan,
K-MOODLE-657,LKP-810b158027,DESAIN LABEL PRODUK DENGAN PHOTOSHOP,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=657,12,0,Sudah Berjalan,
K-MOODLE-709,LKP-810b158027,EDITING VIDEO MENGGUNAKAN VN (VlogNow),https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=709,16,0,Sudah Berjalan,
K-MOODLE-360,LKP-57f8fe1318,Operator Komputer Perkantoran,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=360,2,0,Sudah Berjalan,
K-MOODLE-502,LKP-476f8d62a7,Belajar Mengukur Busana,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=502,2,0,Sudah Berjalan,
K-MOODLE-1377,LKP-e068d3cdcc,Tata Kecantikan Rambut LKP Prima Kendari,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1377,2,0,Sudah Berjalan,
K-MOODLE-1042,LKP-cd9e9b4591,Operator Komputer Madya - ELTIBIZ,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=1042,2,0,Sudah Berjalan,
K-MOODLE-555,LKP-c285a15410,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=555,2,0,Sudah Berjalan,
K-MOODLE-765,LKP-404de7d2a1,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=765,2,0,Sudah Berjalan,
K-MOODLE-780,LKP-31ceb19ebd,kursus baru,https://kursusdaring.kemendikdasmen.go.id/course/view.php?id=780,2,0,Sudah Berjalan,
