id,lkp_id,nama_kelas,link,peserta,lulusan,status
K-3018-1,LKP-c3f1d64404,kursus baru,,0,0,Materi Belum Lengkap
K-3018-2,LKP-c3f1d64404,kursus baru,,0,0,Materi Belum Lengkap
K-3023-0,LKP-f716cd515f,Teknik Dasar Makeup,,1,0,Sudah Berjalan
K-3023-1,LKP-f716cd515f,Teknik Dasar Makeup,,1,0,Sudah Berjalan
K-3023-2,LKP-f716cd515f,Teknik Dasar Makeup,,1,0,Sudah Berjalan
K-3024-0,LKP-f0d5b90f73,"Microsoft Office Word untuk Admin Hotel Independent Cruise Ships and Hotel School,  Skill Menjadi Housekeeping Handal Independent Cruise Ships and Hotel School",,3,0,Sudah Berjalan
K-3024-1,LKP-f0d5b90f73,"Microsoft Office Word untuk Admin Hotel Independent Cruise Ships and Hotel School,  Skill Menjadi Housekeeping Handal Independent Cruise Ships and Hotel School",,3,0,Sudah Berjalan
K-3024-2,LKP-f0d5b90f73,"Microsoft Office Word untuk Admin Hotel Independent Cruise Ships and Hotel School,  Skill Menjadi Housekeeping Handal Independent Cruise Ships and Hotel School",,3,0,Sudah Berjalan
K-3030-0,LKP-62f2c936a6,Kursus Membuat Unique Ethnic Blouse,,12,0,Sudah Berjalan
K-3030-1,LKP-62f2c936a6,Kursus Membuat Unique Ethnic Blouse,,12,0,Sudah Berjalan
K-3030-2,LKP-62f2c936a6,Kursus Membuat Unique Ethnic Blouse,,12,0,Sudah Berjalan
K-3047-0,LKP-c655705bcb,MIXOLOGI MINUMAN CAFE,,0,0,Materi Belum Lengkap
K-3047-1,LKP-c655705bcb,MIXOLOGI MINUMAN CAFE,,0,0,Materi Belum Lengkap
K-3047-2,LKP-c655705bcb,MIXOLOGI MINUMAN CAFE,,0,0,Materi Belum Lengkap
K-3050-0,LKP-c20146a8ad,"Mengelola Excel bagi Petugas Entry Data, LKP Putra Perwira, Mengelola Medsos bagi Sosial Media Strategi - LKP Putra Perwira, 
Mengelola Angka dengan Microsoft Excel bagi Tenaga Perkantoran - Putra Perwira, 
Membuat Desain Presentasi dengan Power Point bagi Tenaga Pendidikan - Putra Perwira, Belajar Menggunakan MS Word Untuk Tenaga Perkantoran - Putra Perwira",,37,0,Sudah Berjalan
K-3050-1,LKP-c20146a8ad,"Mengelola Excel bagi Petugas Entry Data, LKP Putra Perwira, Mengelola Medsos bagi Sosial Media Strategi - LKP Putra Perwira, 
Mengelola Angka dengan Microsoft Excel bagi Tenaga Perkantoran - Putra Perwira, 
Membuat Desain Presentasi dengan Power Point bagi Tenaga Pendidikan - Putra Perwira, Belajar Menggunakan MS Word Untuk Tenaga Perkantoran - Putra Perwira",,37,0,Sudah Berjalan
K-3050-2,LKP-c20146a8ad,"Mengelola Excel bagi Petugas Entry Data, LKP Putra Perwira, Mengelola Medsos bagi Sosial Media Strategi - LKP Putra Perwira, 
Mengelola Angka dengan Microsoft Excel bagi Tenaga Perkantoran - Putra Perwira, 
Membuat Desain Presentasi dengan Power Point bagi Tenaga Pendidikan - Putra Perwira, Belajar Menggunakan MS Word Untuk Tenaga Perkantoran - Putra Perwira",,37,0,Sudah Berjalan
K-3062-0,LKP-043782e36b,kursus baru,,0,0,Materi Belum Lengkap
K-3062-1,LKP-043782e36b,kursus baru,,0,0,Materi Belum Lengkap
K-3062-2,LKP-043782e36b,kursus baru,,0,0,Materi Belum Lengkap
K-3068-0,LKP-1855cd61a6,Melakukan Perakitan dan Perbaikan Komputer untuk Teknisi Komputer,,0,0,Materi Belum Lengkap
K-3068-1,LKP-1855cd61a6,Melakukan Perakitan dan Perbaikan Komputer untuk Teknisi Komputer,,0,0,Materi Belum Lengkap
K-3068-2,LKP-1855cd61a6,Melakukan Perakitan dan Perbaikan Komputer untuk Teknisi Komputer,,0,0,Materi Belum Lengkap
K-3089-0,LKP-56b800d172,kursusbaru,,0,0,Materi Belum Lengkap
K-3089-1,LKP-56b800d172,kursusbaru,,0,0,Materi Belum Lengkap
K-3089-2,LKP-56b800d172,kursusbaru,,0,0,Materi Belum Lengkap
K-3108-0,LKP-7abaf10f54,"Teknik Menjahit Daster Gondel, Membuat Hiasan Sulam Pita pada Busana bagi Penyulam, Menjahit Celana Kulot bagi Tukang Jahit, Menjahit Kemeja bagi Tukang Jahit, Menjahit Rok SMA bagi Tukang Jahit.",,0,0,Materi Belum Lengkap
K-3108-1,LKP-7abaf10f54,"Teknik Menjahit Daster Gondel, Membuat Hiasan Sulam Pita pada Busana bagi Penyulam, Menjahit Celana Kulot bagi Tukang Jahit, Menjahit Kemeja bagi Tukang Jahit, Menjahit Rok SMA bagi Tukang Jahit.",,0,0,Materi Belum Lengkap
K-3108-2,LKP-7abaf10f54,"Teknik Menjahit Daster Gondel, Membuat Hiasan Sulam Pita pada Busana bagi Penyulam, Menjahit Celana Kulot bagi Tukang Jahit, Menjahit Kemeja bagi Tukang Jahit, Menjahit Rok SMA bagi Tukang Jahit.",,0,0,Materi Belum Lengkap
K-3130-0,LKP-7f25eaba78,kursusbaru,,0,0,Materi Belum Lengkap
